unique_id,collision_id,crash_date,crash_time,vehicle_id,state_registration,vehicle_type,vehicle_year,travel_direction,vehicle_occupants,driver_sex,driver_license_status,driver_license_jurisdiction,pre_crash,point_of_impact,vehicle_damage,vehicle_damage_1,vehicle_damage_2,vehicle_damage_3,public_property_damage,contributing_factor_1,contributing_factor_2,vehicle_make,public_property_damage_type
20945631,4846424,2025-09-30T00:00:00.000,13:48,2499c729-7394-4ca7-871c-32a6d2fefe9e,PA,Station Wagon/Sport Utility Vehicle,2008,West,1,F,Licensed,NY,Other*,Left Front Quarter Panel,Left Front Quarter Panel,Right Front Quarter Panel,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20945648,4846493,2025-09-30T00:00:00.000,23:20,49cd1c81-e6dd-4625-bdda-40407e57a680,,Bike,,East,1,M,,,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,Unspecified,Unspecified,,
20946648,4846850,2025-09-30T00:00:00.000,11:45,8c6ec243-50ec-49b4-949e-42da81a35168,IN,Bus,2023,West,1,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,Left Front Bumper,No Damage,No Damage,,N,Passing or Lane Usage Improper,Unspecified,Pre,
20945472,4846434,2025-09-30T00:00:00.000,17:17,ce0cd47d-88b3-4baa-a0ac-c24fd715740c,MD,Station Wagon/Sport Utility Vehicle,2011,West,0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Center Front End,Center Front End,Center Front End,N,Driver Inattention/Distraction,Following Too Closely,NISS -CAR/SUV,
20946030,4846413,2025-09-30T00:00:00.000,13:44,9c6b0daf-1209-4a60-a6ec-9d83de93e62c,NY,Sedan,2020,North,1,M,Licensed,NY,Going Straight Ahead,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20945721,4846489,2025-09-30T00:00:00.000,14:32,2f3161a2-4eca-43fa-8b40-5d1e7876993b,NY,Station Wagon/Sport Utility Vehicle,2007,North,2,F,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,No Damage,No Damage,No Damage,N,Unspecified,Alcohol Involvement,HYUN -CAR/SUV,
20946469,4846670,2025-09-30T00:00:00.000,15:00,675aa3e2-bc77-4176-8aa2-6daf365c0f63,NY,Station Wagon/Sport Utility Vehicle,2015,West,1,F,Licensed,NY,Going Straight Ahead,Right Front Bumper,Right Front Bumper,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,MITS -CAR/SUV,
20946228,4846526,2025-09-30T00:00:00.000,23:00,e07b4209-0a09-4ad5-a910-21ccb818a8f1,NY,Station Wagon/Sport Utility Vehicle,2020,South,1,M,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,Left Side Doors,No Damage,No Damage,N,Unspecified,Unspecified,BMW -CAR/SUV,
20946022,4846374,2025-09-30T00:00:00.000,9:05,32f39f26-0510-4ee5-ba07-a9284bd7b025,NY,Station Wagon/Sport Utility Vehicle,2025,East,0,F,Licensed,NY,Going Straight Ahead,Left Side Doors,Left Side Doors,,,,N,Unspecified,Unspecified,HOND -CAR/SUV,
20945930,4846454,2025-09-30T00:00:00.000,16:35,ecde03e5-0c53-419f-8241-e10b932eca67,NY,Station Wagon/Sport Utility Vehicle,2023,East,1,F,Licensed,NY,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,Left Side Doors,No Damage,No Damage,N,Other Vehicular,Unspecified,JEEP -CAR/SUV,
20946431,4846433,2025-09-30T00:00:00.000,9:45,1beb90d8-a380-4a11-9e45-f944b9ba0cac,,,,East,1,,,,Going Straight Ahead,Center Front End,,,,,Unspecified,Following Too Closely,Unspecified,,
20946257,4846558,2025-09-30T00:00:00.000,15:20,4e2c79b7-648a-4863-9e21-20bda5960c18,,Bike,,South,0,F,Licensed,NJ,Going Straight Ahead,Other,Other,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Driver Inattention/Distraction,,
20945543,4846401,2025-09-30T00:00:00.000,9:03,e9a29db1-6546-4696-9b26-ca83e8e2e48e,IN,Box Truck,2026,West,1,M,Licensed,NJ,Parked,Left Side Doors,No Damage,No Damage,No Damage,No Damage,N,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,FRHT-TRUCK/BUS,
20946760,4846830,2025-09-30T00:00:00.000,4:44,f9ef9212-faa0-47b7-8f1b-f3569f43f0d3,,Bike,,West,0,,,,Going Straight Ahead,Center Front End,No Damage,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified,,
20945967,4846245,2025-09-30T00:00:00.000,7:05,df5055da-1854-4d0f-a83f-68ff132b8991,NY,Box Truck,2023,South,1,M,Licensed,NY,Merging,Right Front Quarter Panel,Right Side Doors,Right Front Bumper,,,N,Driver Inattention/Distraction,Driver Inattention/Distraction,FRHT-TRUCK/BUS,
20946019,4846372,2025-09-30T00:00:00.000,6:57,437312c0-8fba-479f-b207-de8fe382828f,PA,Sedan,2015,South,0,,,,Parked,Center Back End,Center Back End,Center Front End,Center Front End,Left Rear Bumper,N,Unspecified,Unspecified,PORS -CAR/SUV,
20946660,4846920,2025-09-30T00:00:00.000,10:40,a897b468-45b2-41a2-b429-40b72e96b5cf,NY,Box Truck,2024,West,0,,,,Going Straight Ahead,No Damage,No Damage,No Damage,No Damage,No Damage,N,Passing Too Closely,,ISU-TRUCK/BUS,
20946026,4846381,2025-09-30T00:00:00.000,9:39,8c150029-3a51-4217-9f2f-59fbd64e1328,PA,Station Wagon/Sport Utility Vehicle,2015,East,0,,,,Parked,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,,,N,Unspecified,Unspecified,HOND -CAR/SUV,
20945992,4846478,2025-09-30T00:00:00.000,15:50,00ce85aa-1c66-41a1-8897-866898b14d52,NY,Station Wagon/Sport Utility Vehicle,2013,West,3,M,Licensed,NY,Making Right Turn,Center Back End,Center Back End,,Right Rear Bumper,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20946843,4846942,2025-09-30T00:00:00.000,10:20,27102780-5c8d-4057-828c-b6100b950fee,NY,Station Wagon/Sport Utility Vehicle,2024,East,1,M,Licensed,NY,Going Straight Ahead,Roof,Roof,Roof,Roof,,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20946954,4846995,2025-09-30T00:00:00.000,0:00,41183a0a-1cee-4507-9629-8eb4b5b519ae,NY,Station Wagon/Sport Utility Vehicle,2010,South,0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,Driver Inattention/Distraction,Driver Inattention/Distraction,HOND -CAR/SUV,
20946021,4846373,2025-09-30T00:00:00.000,7:00,0d6a4efe-24bc-4e00-aa4e-555a7a9d29a3,FL,Station Wagon/Sport Utility Vehicle,,South,0,,,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20946162,4846707,2025-09-30T00:00:00.000,14:36,61e8151b-6e29-4577-9bab-7323828615af,NY,Sedan,2022,North,1,M,Licensed,NY,Parked,Left Rear Quarter Panel,Left Rear Quarter Panel,No Damage,No Damage,No Damage,Unspecified,Unspecified,Unspecified,CHEV -CAR/SUV,
20946429,4846635,2025-09-30T00:00:00.000,0:20,dc9e3b7b-e72f-4623-ab10-3138e136a3a6,NY,Station Wagon/Sport Utility Vehicle,2023,North,0,,,,Parked,Center Back End,Right Rear Quarter Panel,Center Back End,,,N,Unspecified,Unspecified,CHEV -CAR/SUV,
20946354,4846710,2025-09-30T00:00:00.000,0:00,2d84a6df-9c4d-4b93-b8ed-d0cea9c35133,NY,Sedan,2008,South,2,M,Licensed,NY,Going Straight Ahead,Left Rear Bumper,Center Back End,Center Back End,Center Back End,Center Back End,N,Unspecified,Unspecified,HOND -CAR/SUV,
20946441,4846592,2025-09-30T00:00:00.000,15:20,2d4640d1-a25b-47ad-b49c-5db72b1931af,NY,Sedan,1994,West,1,M,Licensed,NY,Stopped in Traffic,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,,,N,Unspecified,Unspecified,HOND -CAR/SUV,
20945851,4846256,2025-09-30T00:00:00.000,6:30,9901b4ab-b780-4a4e-8848-ad35337a6c09,CT,Van,2011,North,1,M,Licensed,CT,Going Straight Ahead,Left Front Quarter Panel,Left Side Doors,Left Front Bumper,Other,Other,N,Unspecified,Unspecified,,
20947038,4846818,2025-09-30T00:00:00.000,9:25,b3541e5f-0d11-41cd-badb-c8796ba4a771,NY,Bus,2017,East,2,F,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,Following Too Closely,Following Too Closely,CHEV-TRUCK/BUS,
20946385,4846671,2025-09-30T00:00:00.000,13:20,9c66d627-fe68-4b01-9d48-b6c4f51605a7,NY,Sedan,2016,West,2,F,Licensed,NY,Stopped in Traffic,Left Rear Bumper,Left Rear Bumper,,,Left Rear Bumper,N,Unspecified,Unspecified,NISS -CAR/SUV,
20947077,4846796,2025-09-30T00:00:00.000,7:20,bdb279c5-60ee-4354-8d2f-cbbb42c9af6d,NY,Sedan,2017,North,0,F,Licensed,NY,Parked,Left Rear Bumper,Left Rear Bumper,Left Rear Quarter Panel,,,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20945716,4846488,2025-09-30T00:00:00.000,13:40,8b5132d8-edf0-4ece-b5f2-9c123cdffa43,NY,Sedan,2002,North,1,M,Licensed,NY,Making Right Turn,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,HOND -CAR/SUV,
20946443,4846530,2025-09-30T00:00:00.000,18:45,70d078b7-f781-4890-a6eb-d2865936b705,NY,Station Wagon/Sport Utility Vehicle,1999,North,4,M,Licensed,NY,Going Straight Ahead,Right Rear Quarter Panel,Right Rear Quarter Panel,,,,Unspecified,Other Vehicular,Other Vehicular,LEXS -CAR/SUV,
20946397,4846755,2025-09-30T00:00:00.000,9:00,160cd606-4bd2-459b-b657-d97b690e1665,OH,Station Wagon/Sport Utility Vehicle,2001,North,1,,,,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,,N,Unsafe Speed,Driver Inattention/Distraction,ACUR -CAR/SUV,
20946248,4846750,2025-09-30T00:00:00.000,23:24,2b3d37f1-d80d-452a-9e4b-265aa2aefbb9,TX,Station Wagon/Sport Utility Vehicle,2025,North,3,,,,Going Straight Ahead,Center Front End,Center Front End,Left Front Quarter Panel,Left Side Doors,Left Rear Quarter Panel,Unspecified,Unsafe Speed,Aggressive Driving/Road Rage,KIA -CAR/SUV,
20946955,4846997,2025-09-30T00:00:00.000,16:01,5933b8f4-c18a-493c-8a4f-6126ad612172,,Moped,,Unknown,1,,,,Going Straight Ahead,Center Front End,Center Front End,,,,N,Unspecified,Unspecified,,
20945698,4846312,2025-09-30T00:00:00.000,10:48,64063a5e-5d98-44dc-a60f-ba344bdeb3c8,NJ,Station Wagon/Sport Utility Vehicle,2015,South,1,F,Unlicensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,Right Front Quarter Panel,Right Rear Quarter Panel,No Damage,N,Driver Inattention/Distraction,Driver Inexperience,HOND -CAR/SUV,
20946401,4846742,2025-09-30T00:00:00.000,16:30,e39aaccb-9365-4fec-ae7a-305a39c116b0,,,,South,,,,,Going Straight Ahead,Center Front End,,,,,N,Driver Inattention/Distraction,Driver Inexperience,,
20945681,4846464,2025-09-30T00:00:00.000,14:17,cc0268e0-e863-41ce-b410-52a357dbff07,MD,Sedan,2025,East,1,M,Licensed,MD,Making U Turn,Right Front Bumper,Right Front Bumper,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified,TOYT -CAR/SUV,
20945714,4846461,2025-09-30T00:00:00.000,13:30,0001d59d-00eb-4004-a0b6-ce77325e5310,NY,Motorcycle,2018,North,0,M,Licensed,NY,Parked,Overturned,Overturned,Overturned,Overturned,Overturned,N,Unspecified,Unspecified,HD -MCL,
20946703,4846902,2025-09-30T00:00:00.000,8:10,08f51fbc-96bf-4f69-95a8-21a2d71de095,ZZ,Standing S,,South,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Center Front End,Center Front End,Center Front End,N,Unsafe Speed,Unsafe Speed,NA,
20946170,4846549,2025-09-30T00:00:00.000,15:32,759e2366-bfe9-4e8e-90b1-512de820912b,NY,Sedan,2018,West,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20945548,4846263,2025-09-30T00:00:00.000,8:36,d175441e-7e52-4111-9303-2fe24696ee32,NJ,Tractor Truck Diesel,2022,Unknown,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,Right Front Quarter Panel,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,KW-TRUCK/BUS,
20946259,4846555,2025-09-30T00:00:00.000,14:30,f51619d3-7dc2-447f-960e-07320223167d,NY,Sedan,2014,South,0,,,,Parked,Center Front End,Center Front End,,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20946382,4846570,2025-09-30T00:00:00.000,17:10,c1854dc1-2d84-4675-b1b1-a43e1c6687ec,NY,Sedan,2013,East,2,M,Licensed,NY,Starting in Traffic,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,,N,Following Too Closely,Following Too Closely,NISS -CAR/SUV,
20945973,4846410,2025-09-30T00:00:00.000,14:00,5edb8041-7a1c-49a8-9088-d97794a73f30,NY,Station Wagon/Sport Utility Vehicle,2024,East,1,M,Licensed,NY,Making Right Turn,Right Front Quarter Panel,No Damage,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified,KIA -CAR/SUV,
20946175,4846614,2025-09-30T00:00:00.000,0:00,cf20b3f6-45a3-4113-9bd3-62f752b1b8e9,NY,Sedan,2004,West,1,M,Licensed,NY,Merging,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,,,N,Failure to Yield Right-of-Way,Unspecified,VOLK -CAR/SUV,
20946751,4846873,2025-09-30T00:00:00.000,11:40,ba5571a5-eb68-47c1-8e5c-2840786c4583,NY,Sedan,2015,North,1,F,Licensed,NY,Backing,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,N,Backing Unsafely,Driver Inattention/Distraction,HOND -CAR/SUV,
20945633,4846407,2025-09-30T00:00:00.000,14:01,074c47f1-2662-4baf-8c27-2fc94a8e2678,NY,Sedan,2020,East,1,M,Licensed,NY,Slowing or Stopping,Left Rear Quarter Panel,Left Side Doors,Left Front Quarter Panel,,,N,Unspecified,Unspecified,HOND -CAR/SUV,
20946386,4846671,2025-09-30T00:00:00.000,13:20,27ac3dcf-8107-490e-b565-93d1ed920935,NY,Sedan,2021,West,1,M,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,N,Driver Inattention/Distraction,Driver Inattention/Distraction,HOND -CAR/SUV,
20945995,4846480,2025-09-30T00:00:00.000,19:42,a98e257f-e457-44e0-8c6b-292f7a5f929d,NY,Pick-up Truck,2024,West,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Left Front Quarter Panel,,,,N,Following Too Closely,Vehicle Vandalism,NISS -CAR/SUV,
20946991,4846776,2025-09-30T00:00:00.000,13:40,92107a3e-f04a-4f61-80a0-2db97eaf50b5,PA,Sedan,,West,1,,,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Passing Too Closely,FORD -CAR/SUV,
20945632,4846424,2025-09-30T00:00:00.000,13:48,6b14eb9c-f9d9-427e-9c04-ac4799b2699e,NY,Station Wagon/Sport Utility Vehicle,2018,West,1,F,Licensed,NY,Parked,Left Side Doors,Left Side Doors,Left Rear Quarter Panel,,,N,Unspecified,Unspecified,MERZ -CAR/SUV,
20946957,4846996,2025-09-30T00:00:00.000,17:00,d2ede91e-e10c-4402-b1b2-bd954d0df7f3,NY,Station Wagon/Sport Utility Vehicle,2020,South,2,F,Licensed,NY,Slowing or Stopping,Center Back End,Center Back End,,,,N,Unspecified,Unspecified,JEEP -CAR/SUV,
20946889,4846979,2025-09-30T00:00:00.000,17:22,d930327c-611c-4ece-84a1-03506f5a88e2,ZZ,Bike,,North,1,F,,,Going Straight Ahead,Other,Other,Other,Other,Other,N,Unspecified,Unspecified,,
20946759,4846830,2025-09-30T00:00:00.000,4:44,8a804444-e31a-47dc-b60d-f78212c683e1,NJ,Station Wagon/Sport Utility Vehicle,2022,South,1,M,Licensed,NJ,Making Left Turn,Center Front End,No Damage,No Damage,No Damage,No Damage,N,Driver Inattention/Distraction,Unspecified,JEEP -CAR/SUV,
20946752,4846878,2025-09-30T00:00:00.000,19:08,53d633e8-d834-4ff7-b188-9f9203a3d3c8,NY,Sedan,2003,East,2,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Rear Quarter Panel,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,NISS -CAR/SUV,
20946238,4846586,2025-09-30T00:00:00.000,6:30,7d68a107-fa07-46c6-8a23-ced88f27da77,NY,Sedan,2018,North,1,M,Licensed,NY,Changing Lanes,Left Front Bumper,Center Front End,Right Front Bumper,Left Front Bumper,Center Front End,N,Other Vehicular,Other Vehicular,MERZ -CAR/SUV,
20945712,4846443,2025-09-30T00:00:00.000,14:35,7765c13a-f464-4a18-971a-17d07d6001f6,NY,Station Wagon/Sport Utility Vehicle,2023,East,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,Right Side Doors,,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20946826,4846849,2025-09-30T00:00:00.000,16:18,956eea86-5ade-4467-80c5-c9f68c280a3a,NY,Station Wagon/Sport Utility Vehicle,2025,West,1,M,Licensed,NY,Parked,Left Front Bumper,Left Front Bumper,Left Front Quarter Panel,No Damage,No Damage,N,Unspecified,Unspecified,HYUN -CAR/SUV,
20946951,4846992,2025-09-30T00:00:00.000,1:20,bdad9cd9-2669-4a1d-901b-5784ca28ad5d,NY,Sedan,2013,West,3,M,Licensed,NY,Making Right Turn,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,No Damage,N,Unsafe Speed,Unspecified,BMW -CAR/SUV,
20946396,4846755,2025-09-30T00:00:00.000,9:00,82baab4a-2697-4952-a943-fa159092fccd,NY,Station Wagon/Sport Utility Vehicle,2008,South,0,,,,Parked,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,Left Front Quarter Panel,N,Unspecified,Unspecified,CHEV -CAR/SUV,
20946652,4846852,2025-09-30T00:00:00.000,19:25,5cbd5dd5-f044-4bb5-be3f-3144d69bd304,NJ,Sedan,2006,West,2,M,Unlicensed,NY,Going Straight Ahead,Center Front End,Right Front Bumper,Center Front End,,,N,Following Too Closely,Unspecified,JEEP -CAR/SUV,
20946219,4846609,2025-09-30T00:00:00.000,16:45,fb7eadb5-c827-4223-a2e7-de658aac7259,PA,Sedan,2015,East,1,M,Licensed,PA,Parked,Right Front Quarter Panel,Right Side Doors,Right Rear Quarter Panel,,,N,Unspecified,Unspecified,AUDI -CAR/SUV,
20945801,4846445,2025-09-30T00:00:00.000,21:00,cbb85e4d-d47a-44bc-96f3-ba3d95b148c3,,,,South,,,,,Making U Turn,Center Front End,Center Front End,No Damage,No Damage,No Damage,Unspecified,Driver Inattention/Distraction,Driver Inattention/Distraction,,
20945775,4846497,2025-09-30T00:00:00.000,20:16,52659a84-d9b5-432b-9024-ad4d7e2a3e21,NY,Sedan,2016,North,1,M,,,Making U Turn,Center Back End,Left Front Bumper,Left Front Bumper,Left Front Bumper,Left Front Bumper,N,Unspecified,Unspecified,GMC -CAR/SUV,
20947015,4846841,2025-09-30T00:00:00.000,6:30,b33b5cbf-f54c-48d4-ae19-a5bea7657301,NY,Sedan,2025,North,1,M,Licensed,NY,Going Straight Ahead,Right Front Quarter Panel,Right Front Bumper,Right Side Doors,Center Front End,No Damage,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20946695,4846505,2025-09-30T00:00:00.000,15:46,380ee269-1afb-49bc-8979-5dc437753462,,,,,,,,,,,,,,,Unspecified,,,,
20946958,4846996,2025-09-30T00:00:00.000,17:00,db2cc5f9-4ab9-4d09-89d6-b00fc6a25904,,Station Wagon/Sport Utility Vehicle,,South,1,,,,Going Straight Ahead,Center Front End,No Damage,,,,N,Driver Inattention/Distraction,Driver Inexperience,,
20946579,4846517,2025-09-30T00:00:00.000,17:30,629bba2b-9f57-4dff-a2fe-9669b1bf757d,NY,Station Wagon/Sport Utility Vehicle,2022,West,1,F,Licensed,NY,Parked,Left Rear Bumper,Left Rear Bumper,Left Rear Quarter Panel,,,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20946463,4846574,2025-09-30T00:00:00.000,9:40,af24871d-c969-4f08-9053-871963c1eb6d,NY,Garbage or Refuse,2019,South,1,M,Licensed,NY,Going Straight Ahead,Right Front Bumper,No Damage,,,,N,Unspecified,Unspecified,MACK-TRUCK/BUS,
20945483,4846499,2025-09-30T00:00:00.000,14:20,0a86108d-10fd-4152-a1ed-a6a022e5deff,NJ,Station Wagon/Sport Utility Vehicle,2026,West,1,M,Licensed,NY,Making Right Turn,Right Front Bumper,Right Front Bumper,Center Front End,Left Front Bumper,Right Front Bumper,N,Unspecified,Unspecified,BMW -CAR/SUV,
20946379,4846677,2025-09-30T00:00:00.000,11:17,662095c0-5747-480d-b042-745e216d18b9,NY,Station Wagon/Sport Utility Vehicle,2022,South,1,F,Licensed,NY,Going Straight Ahead,Left Front Bumper,Left Front Quarter Panel,Left Side Doors,Left Rear Quarter Panel,Right Front Quarter Panel,N,Following Too Closely,Driver Inattention/Distraction,TOYT -CAR/SUV,
20946956,4846996,2025-09-30T00:00:00.000,17:00,6a94645c-e378-4f4d-9e03-a222f5bb3551,NY,Station Wagon/Sport Utility Vehicle,2015,South,1,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,,,,N,Unspecified,Unspecified,TOYT -CAR/SUV,
20945709,4846252,2025-09-30T00:00:00.000,7:50,74f6da4d-6587-485c-9487-c699b46e9ed4,PQ,Tractor Truck Diesel,2024,West,0,M,Licensed,PQ,Other*,Left Front Bumper,Left Front Bumper,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,PTRB-TRUCK/BUS,
20947078,4846796,2025-09-30T00:00:00.000,7:20,202641e6-a407-4f8b-a9b2-f3c861a7827e,,,,North,,,,,,,,,,,Unspecified,Driver Inattention/Distraction,Unspecified,,
20945611,4846335,2025-09-30T00:00:00.000,12:10,760f1910-3a1a-40f3-9718-31341eb442ca,GA,Sedan,2012,East,1,M,,,Backing,Right Rear Quarter Panel,Right Rear Quarter Panel,Right Rear Bumper,No Damage,No Damage,N,Driver Inattention/Distraction,Backing Unsafely,BMW -CAR/SUV,
20946260,4846555,2025-09-30T00:00:00.000,14:30,cf4cb8d3-23e3-48f4-9c34-f5a1db417f70,NY,Ambulance,2023,East,1,M,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,,,,Unspecified,Driver Inattention/Distraction,Passing Too Closely,FORD-TRUCK/BUS,
20946444,4846530,2025-09-30T00:00:00.000,18:45,0e4342c3-e420-49ed-bda8-282e3b97f05d,,,,,,,,,,,,,,,Unspecified,,,,
20945547,4846471,2025-09-30T00:00:00.000,17:00,bf51dd43-0fe7-490b-8df2-cca289eb08c8,NY,Sedan,2012,South,1,M,Licensed,NY,Changing Lanes,Left Front Bumper,Left Front Bumper,,,,N,Unspecified,Unspecified,FORD -CAR/SUV,
20946360,4846725,2025-09-30T00:00:00.000,11:40,e71596df-a2e3-4948-8b61-e59a035d5627,CT,Sedan,2021,South,0,,,,Parked,Right Rear Bumper,Right Rear Bumper,No Damage,No Damage,No Damage,N,Unspecified,Unspecified,HYUN -CAR/SUV,
20946910,4846962,2025-09-30T00:00:00.000,15:53,97a226cc-e164-45a9-a6f3-4dc672db69c3,NY,Sedan,2017,South,1,M,Licensed,NY,Going Straight Ahead,Right Rear Bumper,Right Rear Bumper,Center Back End,Center Back End,,N,Unspecified,Unspecified,HOND -CAR/SUV,
20945991,4846477,2025-09-30T00:00:00.000,11:25,22aeb816-0209-47de-8c47-3be59ee0aeb6,NY,Sedan,2024,West,1,,,,Going Straight Ahead,Right Side Doors,No Damage,,,,N,Failure to Yield Right-of-Way,Unspecified,NISS -CAR/SUV,
